ID,BIN,LOCATION,FEAT_UND,STATE_CODE,TYPE,MAT,YR_BLT,YR_FAIL,DATE_FAIL,FAIL_TYPE,FAIL_CAUS,FATAL,INJURY,SOURCE,COMMENTS
3586,,"Mongomery, Alabama Rail",,AL,,,,1979,,TC,Collision - Train,,,KY,
3587,,"US-43, Mobile",Chickasawbogue Ck,AL,Simple Span,Concrete,1958,1985,,TC,Conc - Pile Deter,0,1,SURV,
3588,,Conecuh County 22,Interstate 65,AL,Girder,Steel,,1993,27-Apr-1993,TC,Collision - Truck,2,1,News,
3589,,Amtrak - CSX Trans - Saraland,Bayou Canot,AL,Truss - Rail,Steel-Wood,1909,1993,22-Sep-1993,TC,Collision - Barge,47,103,News,
3590,,"I-65 South Conn., Birmingham",I-65 North,AL,Girder,Steel,,2002,5-Jan-2002,TC,Misc - Explosion,1,0,Net,
3591,,Railroad near Myrtlewood,Near Tombigbee River,AL,Trestle,Wood,1947,2007,2-May-2007,TC,Misc,0,6,News,Carrying rocket boosters
3496,16578,Fouche Dam Pike,Fouche Creek,AR,Beam,Steel,1936,,,,Steel - Deter,,,SURV,
3497,01531,US 70-16-14.74 (1),White River,AR,Truss thru,Steel,1935,1972,,,Collision - Barge,,,SURV,
3498,B3853,I30-14-80.58,Bayou DeRoche,AR,Beam,Steel,1966,1977,,PC,Fire,,,SURV,
3499,17897,CR 2-3.11,Ouachita River,AR,Beam,Steel,1972,1979,,TC,Hydraulic - Flood,,,SURV,
3500,18957,CR 62-4.69,Flat Cypress Creek,AR,Span,Timber,,1979,,,Hydraulic - Flood,,,SURV,
3501,15750,CR 70-0.60,White Branch,AR,Span,Timber,1935,1979,,,Hydraulic - Flood,,,SURV,
3502,15302,CR 147-5.50,Ditch No. 1,AR,Span,Timber,1960,1979,,,Misc - Deterioration,,,SURV,
3503,12960,CR 363-0.81,Bayou Bartholomew,AR,Span,Timber,,1979,,,Misc - Deterioration,,,SURV,
3504,13056,CR 467-1.04,Cypress Creek,AR,Span,Timber,1930,1980,,,Hydraulic - Scour,,,SURV,
3505,12095,CR 384-1.51,Ditch,AR,Span,Timber,1964,1980,,,Misc - Deterioration,,,SURV,
